DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
284,-38.8034,-11.2829,25.124,-2.5532,0.0,-50.0863,22.5708,-27.5155
285,-35.4069,-13.4585,25.0082,-2.5319,0.0,-48.8654,22.4763,-26.3891
286,-35.5562,-17.2745,25.798,-2.5495,0.0,-52.8307,23.2485,-29.5822
287,-38.0739,-15.5053,24.3892,-2.605,0.0,-53.5792,21.7842,-31.795
288,-34.6105,-16.8007,25.4173,-2.4832,0.0,-51.4112,22.9341,-28.4771
289,-35.8693,-14.1788,26.361,-2.5091,0.0,-50.0481,23.8519,-26.1962
290,-35.7978,-12.3498,25.7832,-2.6253,0.0,-48.1476,23.1579,-24.9897
291,-37.6929,-16.476,26.3688,-2.479,0.0,-54.1689,23.8898,-30.2791
292,-39.5427,-12.0064,25.4964,-2.549,0.0,-51.5491,22.9474,-28.6017
293,-36.4733,-13.4008,24.9198,-2.5787,0.0,-49.8741,22.3411,-27.533
294,-36.493,-14.6886,25.9012,-2.4669,0.0,-51.1816,23.4343,-27.7473
295,-39.9247,-13.5209,25.8674,-2.5432,0.0,-53.4456,23.3242,-30.1214
296,-38.0912,-15.6995,26.7553,-2.4756,0.0,-53.7907,24.2797,-29.511
297,-38.3285,-16.3686,26.5172,-2.6421,0.0,-54.6971,23.8751,-30.822
